brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
Mercedes-Benz,CLA-Class CLA200 AMG Line,190888,19120.0,1.2,8300.0,1332.0,120.0,1,2021-11-05,2031-11-05,8.8,False
BMW,5 Series 520i ,59888,12000.0,25.0,198000.0,1991.0,,,1998-01-07,2028-01-01,5.0,True
Mercedes-Benz,E-Class E250 CGI ,86100,12670.0,13.2,120000.0,1796.0,150.0,6,2009-10-28,2029-10-01,6.7,True
BMW,5 Series 525i XL ,65677,10730.0,13.9,135000.0,2497.0,160.0,6,2009-02-23,2029-02-01,6.1,True
Lexus,IS Turbo IS200t Executive,111800,19330.0,5.4,136000.0,1998.0,180.0,1,2017-08-18,2027-08-18,4.6,False
Audi,A4 1.4A TFSI S-tronic,76800,17690.0,6.4,,1395.0,110.0,3,2016-08-12,2026-08-12,3.6,False
Toyota,Camry 2.0A,56800,15720.0,7.4,50000.0,1998.0,123.0,3,2015-09-01,2025-08-31,2.6,False
BMW,5 Series 523i ,92288,11340.0,11.8,130000.0,2497.0,150.0,2,2011-03-11,2031-02-01,8.1,True
Lexus,GS350 Luxury,146800,25620.0,6.1,80000.0,3456.0,232.0,1,2016-12-21,2026-12-21,3.9,False
BMW,5 Series 530i Luxury,131800,23030.0,5.6,79000.0,1998.0,185.0,4,2017-05-30,2027-05-30,4.4,False
Mercedes-Benz,C-Class C180 Avantgarde Night Edition,178000,18540.0,1.5,18000.0,1497.0,115.0,1,2021-06-30,2031-06-30,8.5,False
Volvo,S60 Diesel D2,33500,14970.0,8.4,140000.0,1560.0,84.0,2,2014-08-29,2024-08-28,1.6,False
Mercedes-Benz,A-Class Saloon A180 Progressive,147800,16210.0,2.0,28000.0,1332.0,96.0,1,2021-01-07,2031-01-07,8.0,False
Mercedes-Benz,C-Class C250 Avantgarde,102800,22260.0,6.5,53000.0,1991.0,155.0,1,2016-07-04,2026-07-04,3.5,False
BMW,5 Series 530e Plug-in Hybrid,245888,25710.0,1.9,22000.0,1998.0,215.0,2,2021-02-26,2031-02-26,8.1,False
Lexus,IS Turbo IS200t Executive,104000,21040.0,6.1,64000.0,1998.0,180.0,1,2016-11-30,2026-11-30,3.9,False
BMW,2 Series 218i Gran Coupe Luxury,145888,15820.0,2.1,13470.0,1499.0,103.0,1,2020-11-28,2030-11-28,7.9,False
BMW,3 Series 318i Highline Sport,177777,17720.0,1.4,15255.0,1998.0,115.0,1,2021-08-20,2031-08-20,8.6,False
BMW,3 Series 318i M-Sport Shadow Edition,119800,17300.0,4.4,53700.0,1499.0,100.0,1,2018-08-31,2028-08-30,5.6,False
Audi,A3 Sedan 1.4A TFSI Ambiente,59500,15990.0,6.7,84200.0,1395.0,92.0,3,2016-04-29,2026-04-29,3.3,False
BMW,4 Series 420i Gran Coupe Sunroof,73800,22000.0,7.6,103699.0,1997.0,135.0,2,2015-06-19,2025-06-18,2.4,False
Audi,A3 Sedan 1.0A TFSI S-tronic,72800,15910.0,6.0,108000.0,999.0,85.0,2,2017-01-20,2027-01-20,4.0,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,179800,18360.0,1.3,9000.0,1332.0,96.0,1,2021-09-27,2031-09-27,8.7,False
Mercedes-Benz,S-Class S400L,133800,29900.0,8.0,128000.0,2996.0,245.0,1,2015-01-20,2025-01-19,2.0,False
Lexus,ES250 Executive Sunroof,158888,19390.0,3.1,64949.0,2487.0,152.0,2,2019-12-23,2029-12-22,6.9,False
Hyundai,Sonata 2.0A GLS,48200,12020.0,6.8,100158.0,1999.0,113.0,2,2016-03-31,2026-03-31,3.2,False
Tesla,Model 3 Electric Performance AWD,230000,23530.0,1.4,31000.0,,377.0,1,2021-08-20,2031-08-20,8.6,False
Mercedes-Benz,A-Class Saloon A200 AMG Line,135800,17100.0,3.0,38000.0,1332.0,120.0,2,2020-01-15,2030-01-14,7.0,False
Mercedes-Benz,C-Class C180K Avantgarde ,96800,10590.0,10.5,95000.0,1597.0,115.0,4,2012-07-27,2032-02-01,9.1,True
BMW,2 Series 218i Gran Coupe Luxury,143800,16100.0,2.4,24426.0,1499.0,103.0,1,2020-08-31,2030-08-31,7.6,False
BMW,3 Series 316i M-Sport,34000,28070.0,9.4,130000.0,1598.0,100.0,3,2013-08-30,2023-08-30,0.6,False
BMW,3 Series 318i M-Sport,193800,18400.0,0.9,13000.0,1998.0,115.0,1,2022-02-11,2032-02-11,9.1,False
Mercedes-Benz,E-Class E200d,125800,21530.0,5.2,105000.0,1950.0,110.0,1,2017-11-15,2027-11-15,4.8,False
BMW,5 Series 520i Mild Hybrid Executive,241800,22670.0,0.7,13000.0,1998.0,137.2,1,2022-04-29,2032-04-28,9.3,False
Toyota,Camry 2.4A ,46800,10670.0,15.6,155000.0,2362.0,123.0,2,2007-06-12,2027-05-01,4.3,True
BMW,3 Series 320i M-Sport,203800,19610.0,1.2,8900.0,1998.0,135.0,1,2021-11-08,2031-11-08,8.8,False
Mazda,6 2.0A,42900,11660.0,7.1,,1998.0,121.0,3,2015-11-30,2025-11-29,2.9,False
BMW,5 Series 523i ,94800,11420.0,11.6,,2497.0,150.0,3,2011-05-20,2031-04-01,8.2,True
Audi,A4 2.0A TFSI S-tronic,146988,17860.0,2.9,33000.0,1984.0,140.0,2,2020-02-27,2030-02-26,7.1,False
Audi,A5 Sportback 2.0A TFSI S-tronic Design,156000,19560.0,3.2,52965.0,1984.0,140.0,3,2019-10-30,2029-10-29,6.8,False
Mercedes-Benz,C-Class C200 AMG Line Sunroof,109800,22210.0,6.0,47455.0,1991.0,135.0,1,2016-12-27,2026-12-27,4.0,False
BMW,5 Series 528i,68888,19990.0,8.4,110000.0,1997.0,180.0,4,2014-08-18,2024-08-17,1.6,False
BMW,5 Series 530e Plug-in Hybrid,169800,23320.0,4.4,94000.0,1998.0,185.0,1,2018-08-29,2028-08-28,5.6,False
Jaguar,XE 2.0A Prestige,101800,16420.0,5.1,44000.0,1998.0,147.0,2,2017-11-27,2027-11-27,4.9,False
Maserati,Ghibli 3.0A V6 GranSport,238888,34590.0,4.9,50000.0,2979.0,257.0,3,2018-02-09,2028-02-09,5.1,False
Volkswagen,Passat 1.8A TFSI Highline Sunroof,61800,16130.0,7.3,74661.0,1798.0,132.0,2,2015-09-23,2025-09-22,2.7,False
Honda,Accord 2.0A VTi-S,61800,15830.0,7.2,82000.0,1997.0,114.0,3,2015-11-02,2025-11-01,2.8,False
Audi,A3 Sedan 1.0A TFSI S-tronic,80800,17330.0,5.8,108000.0,999.0,85.0,2,2017-03-23,2027-03-23,4.2,False
Mercedes-Benz,E-Class E300 ,89800,12870.0,13.0,,2996.0,170.0,2,2010-01-25,2029-12-01,6.9,True
Mercedes-Benz,E-Class E250 CGI Sunroof ,101800,13350.0,12.4,128000.0,1796.0,150.0,1,2010-08-27,2030-08-01,7.6,True
Mercedes-Benz,E-Class E250 CGI Sunroof ,101800,13350.0,12.4,128000.0,1796.0,150.0,1,2010-08-27,2030-08-01,7.6,True
BMW,6 Series 640i Gran Coupe M-Sport Sunroof,166700,30100.0,6.1,113000.0,2979.0,235.0,2,2016-12-05,2026-12-05,3.9,False
Mercedes-Benz,C-Class C180 Avantgarde,126800,19200.0,4.6,93000.0,1595.0,115.0,1,2018-06-22,2028-06-21,5.4,False
Audi,A6 2.0A TFSI MU,56800,18500.0,8.0,107639.0,1984.0,132.0,2,2014-12-29,2024-12-28,2.0,False
Volkswagen,Passat 1.8A TSI Highline Sunroof,109800,15630.0,4.2,26000.0,1798.0,132.0,1,2018-11-13,2028-11-12,5.8,False
Mercedes-Benz,S-Class S320L,259000,37790.0,4.8,12000.0,2996.0,200.0,1,2018-04-05,2028-04-04,5.2,False
Mercedes-Benz,C-Class C180 Avantgarde,111800,18980.0,5.3,80000.0,1595.0,115.0,1,2017-10-04,2027-10-04,4.7,False
Mercedes-Benz,E-Class E250 Exclusive,138800,23660.0,5.8,77850.0,1991.0,155.0,2,2017-03-20,2027-03-20,4.2,False
Mazda,6 2.0A,51800,14830.0,7.2,98290.0,1998.0,121.0,2,2015-11-05,2025-11-04,2.8,False
BMW,5 Series 520i Sport,179800,22790.0,3.5,,1998.0,135.0,1,2019-06-27,2029-06-26,6.5,False
Jaguar,XE 2.0A,182800,19010.0,1.3,9700.0,1997.0,184.0,1,2021-09-24,2031-09-24,8.7,False
Bentley,Continental Flying Spur 6.0A Speed ,220000,25220.0,11.0,85000.0,5998.0,449.0,6,2012-01-17,2031-09-01,8.6,True
BMW,5 Series 520d M-Sport,179800,23240.0,3.9,73230.0,1995.0,140.0,2,2019-02-26,2029-02-25,6.1,False
BMW,3 Series 320i Coupe Sunroof ,85800,11230.0,12.3,126000.0,1995.0,115.0,3,2010-09-23,2030-08-01,7.6,True
Mercedes-Benz,CLA-Class CLA180 AMG Line Premium Plus,168000,21650.0,3.4,36000.0,1332.0,100.0,1,2019-08-30,2029-08-29,6.6,False
Maserati,Quattroporte 4.2A ,155000,18670.0,11.7,105000.0,4244.0,295.0,4,2011-05-13,2031-04-01,8.2,True
Mercedes-Benz,E-Class E200 Mild Hybrid AMG Line,301988,29080.0,0.7,,1991.0,155.0,1,2022-04-21,2032-04-20,9.3,False
Tesla,Model 3 Electric Standard Range Plus,205888,21510.0,1.2,10000.0,,239.0,1,2021-11-09,2031-11-09,8.8,False
