brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
Lexus,ES Hybrid ES300h Executive,128800,18960.0,4.6,99000.0,2494.0,151.0,1,2018-06-18,2028-06-17,5.4,False
BMW,5 Series 530i Luxury,143800,23760.0,5.3,72915.0,1998.0,185.0,1,2017-09-28,2027-09-28,4.7,False
Mercedes-Benz,C-Class C180K ,75800,11640.0,13.5,,1597.0,115.0,6,2009-07-15,2029-07-01,6.5,True
Jaguar,XE 2.0A Prestige,86000,17120.0,6.6,87000.0,1999.0,147.0,1,2016-05-31,2026-05-31,3.4,False
Mazda,6 2.0A,96800,14080.0,3.8,34000.0,1998.0,121.0,2,2019-03-29,2029-03-28,6.2,False
Mercedes-Benz,E-Class E250,66200,20040.0,8.1,130000.0,1991.0,155.0,2,2014-12-04,2024-12-03,1.9,False
Audi,A3 Sedan 1.4A TFSI S-tronic Ambiente,70800,14860.0,6.1,83000.0,1395.0,92.0,2,2016-12-13,2026-12-13,3.9,False
Mercedes-Benz,C-Class C180 Avantgarde,80800,21640.0,7.1,110000.0,1595.0,115.0,3,2015-12-01,2025-11-30,2.9,False
Mercedes-Benz,CLA-Class CLA180,35800,19950.0,8.7,85000.0,1595.0,90.0,3,2014-04-24,2024-04-23,1.3,False
BMW,5 Series 520i Highline ,143000,14290.0,9.8,,1997.0,135.0,3,2013-03-28,2033-03-27,10.2,True
Toyota,Camry 2.0A ,58800,9450.0,13.8,,1998.0,108.0,3,2009-04-02,2029-03-01,6.1,True
BMW,2 Series 216i Gran Coupe Sport,168800,16330.0,0.4,3800.0,1499.0,80.0,1,2022-08-19,2032-08-18,9.6,False
Lexus,GS250 Executive,64000,22480.0,8.4,117000.0,2500.0,154.0,1,2014-08-06,2024-08-05,1.6,False
Mercedes-Benz,CLA-Class CLA180,72800,19980.0,7.0,92000.0,1595.0,90.0,3,2016-01-05,2026-01-04,3.0,False
BMW,5 Series 520i,81800,20190.0,7.1,97417.0,1997.0,135.0,2,2015-12-01,2025-11-30,2.9,False
Mercedes-Benz,CLA-Class CLA250 AMG Line Sport,96888,23490.0,6.7,140000.0,1991.0,160.0,2,2016-05-12,2026-05-12,3.3,False
BMW,5 Series 530i M-Sport,152000,25810.0,5.5,90000.0,1998.0,185.0,1,2017-07-20,2027-07-20,4.5,False
Mercedes-Benz,E-Class E200 CGI ,72800,12010.0,13.3,,1796.0,135.0,5,2009-09-29,2029-01-01,6.0,True
Mercedes-Benz,C-Class C180 Avantgarde,167777,17860.0,1.8,46000.0,1497.0,115.0,1,2021-03-30,2031-03-30,8.2,False
Infiniti,Q50 2.0A T Premium,60800,15400.0,7.2,106000.0,1991.0,155.0,2,2015-11-04,2025-11-03,2.8,False
BMW,6 Series 640i Gran Coupe Sunroof,105800,30520.0,8.6,76000.0,2979.0,235.0,2,2014-06-12,2024-06-11,1.4,False
Audi,A3 Sedan Mild Hybrid 1.5A TFSI S-tronic Sunroof,172800,16940.0,0.6,9200.0,1498.0,110.0,1,2022-05-31,2032-05-30,9.4,False
Mazda,6 2.0A,69888,14470.0,5.9,70400.0,1998.0,121.0,2,2017-03-03,2027-03-03,4.1,False
Audi,A6 2.0A TFSI MU,57988,18280.0,7.9,108000.0,1984.0,132.0,1,2015-01-30,2025-01-29,2.1,False
Mercedes-Benz,E-Class E250 Avantgarde,141988,23090.0,5.5,61000.0,1991.0,155.0,2,2017-07-14,2027-07-14,4.5,False
Maserati,Quattroporte 3.0A,218988,36970.0,6.4,30000.0,2979.0,243.0,1,2016-08-26,2026-08-26,3.6,False
Audi,A6 1.8A TFSI Ultra S-tronic,113800,19050.0,5.2,93000.0,1798.0,140.0,1,2017-11-09,2027-11-09,4.8,False
Mercedes-Benz,CLS-Class CLS350 Coupe Mild Hybrid Sunroof,270800,30370.0,3.1,57000.0,1991.0,230.0,1,2019-12-04,2029-12-03,6.9,False
Audi,A4 Mild Hybrid 2.0A TFSI S-tronic,164888,16890.0,1.4,16800.0,1984.0,110.0,1,2021-08-31,2031-08-31,8.6,False
BMW,5 Series 520i Sport,166800,20790.0,3.5,,1998.0,135.0,1,2019-06-25,2029-06-24,6.5,False
Mercedes-Benz,CLA-Class CLA180 AMG Line Premium Plus,151800,18750.0,3.2,70000.0,1332.0,100.0,2,2019-10-18,2029-10-17,6.8,False
Mercedes-Benz,E-Class E200 CGI ,98888,11910.0,11.4,109000.0,1796.0,135.0,3,2011-08-18,2031-04-01,8.2,True
BMW,5 Series 520i,85000,19780.0,6.9,120000.0,1997.0,135.0,1,2016-03-02,2026-03-02,3.1,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,205800,18680.0,0.2,,1332.0,100.0,1,2022-11-14,2032-11-13,9.8,False
Volkswagen,Passat 1.8A TFSI,99800,13610.0,3.9,109000.0,1798.0,132.0,1,2019-01-31,2029-01-30,6.1,False
Volvo,S60 2.0T ,66800,12420.0,14.6,,1984.0,132.0,2,2008-05-28,2028-05-01,5.3,True
Mercedes-Benz,A-Class Saloon A180 Progressive,167800,15840.0,0.6,3600.0,1332.0,96.0,1,2022-06-16,2032-06-15,9.4,False
Tesla,Model 3 Electric Standard Range Plus,202988,20620.0,1.0,10000.0,,239.0,1,2022-01-18,2032-01-18,9.0,False
Mercedes-Benz,CLA-Class CLA180 Urban,119800,16980.0,3.9,55000.0,1595.0,90.0,2,2019-02-18,2029-02-17,6.1,False
Mercedes-Benz,S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,458988,42990.0,1.3,4000.0,2999.0,336.0,1,2021-09-10,2031-09-10,8.7,False
BMW,5 Series 523i ,90800,10820.0,11.6,92933.0,2497.0,150.0,6,2011-06-08,2031-05-01,8.3,True
Mercedes-Benz,E-Class E250 Avantgarde,50800,24480.0,9.0,151988.0,1991.0,155.0,2,2014-01-22,2024-01-22,1.0,False
Rolls-Royce,Phantom ,507800,61820.0,11.8,38000.0,6749.0,338.0,5,2011-03-29,2031-03-01,8.1,True
BMW,3 Series 316i Sport ,129800,12970.0,9.6,154000.0,1598.0,100.0,6,2013-06-14,2033-06-13,10.4,True
Audi,A4 1.8A TFSI MU,37988,18790.0,8.7,98000.0,1798.0,125.0,1,2014-04-30,2024-04-29,1.3,False
Audi,A4 1.4A TFSI S-tronic,97988,17160.0,5.1,70600.0,1395.0,110.0,1,2017-12-05,2027-12-05,4.9,False
Mercedes-Benz,A-Class Saloon A200 Progressive,138800,17550.0,3.2,59000.0,1332.0,120.0,1,2019-11-15,2029-11-14,6.8,False
Volkswagen,Passat 1.8A TFSI Sunroof,71800,15230.0,6.3,75000.0,1798.0,132.0,1,2016-09-23,2026-09-23,3.7,False
Jaguar,XE 2.0A Prestige,105800,16180.0,4.8,52000.0,1998.0,147.0,2,2018-03-29,2028-03-28,5.2,False
BMW,3 Series 320i ,66000,11060.0,14.0,,1995.0,115.0,5,2008-12-30,2028-12-01,5.9,True
Mercedes-Benz,E-Class E300e Plug-in Hybrid Avantgarde,266666,24870.0,0.7,10000.0,1991.0,245.0,1,2022-04-25,2032-04-24,9.3,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,49888,18720.0,7.9,,1595.0,90.0,3,2015-02-06,2025-02-05,2.1,False
Nissan,Teana 2.5A ,59888,8450.0,12.9,130000.0,2496.0,134.0,2,2010-02-10,2030-02-01,7.1,True
Mercedes-Benz,C-Class C180K ,92800,10440.0,11.1,98000.0,1597.0,115.0,3,2011-12-01,2031-11-01,8.8,True
Toyota,Camry 2.4A ,58988,9840.0,14.0,131000.0,2362.0,123.0,2,2009-01-08,2029-01-01,6.0,True
BMW,5 Series 540i M-Sport Sunroof,243800,30310.0,3.7,73000.0,2998.0,250.0,2,2019-05-06,2029-05-05,6.3,False
Mercedes-Benz,E-Class E200 Avantgarde,207988,22180.0,2.2,36000.0,1991.0,145.0,1,2020-11-06,2030-11-06,7.8,False
BMW,5 Series 530e Plug-in Hybrid M Sport,179800,24690.0,4.5,71339.0,1998.0,185.0,1,2018-07-24,2028-07-23,5.5,False
Mercedes-Benz,E-Class E300 Avantgarde,276800,28380.0,1.7,5000.0,1991.0,190.0,1,2021-04-15,2031-04-15,8.3,False
Toyota,Camry 2.0A ,43500,11960.0,16.3,89800.0,1998.0,108.0,3,2006-09-14,2026-08-01,3.6,True
BMW,5 Series 523i ,87800,11370.0,11.9,150500.0,2497.0,150.0,3,2011-02-17,2030-09-01,7.6,True
Mercedes-Benz,C-Class C180K ,87800,10470.0,11.4,129000.0,1597.0,115.0,3,2011-09-05,2031-05-01,8.3,True
Mazda,6 2.0A Executive,117500,13880.0,2.4,30528.0,1998.0,121.0,1,2020-08-07,2030-08-07,7.6,False
BMW,7 Series 740Li M-Sport Sunroof,163000,29980.0,6.6,35000.0,2998.0,240.0,1,2016-06-22,2026-06-22,3.4,False
Volvo,S60 T2,72688,13500.0,5.6,68000.0,1498.0,90.0,1,2017-05-26,2027-05-26,4.4,False
Mercedes-Benz,C-Class C180K ,88888,10490.0,11.1,120000.0,1597.0,115.0,3,2011-11-24,2031-06-01,8.4,True
BMW,3 Series 318i M-Sport,193888,18360.0,0.9,5900.0,1998.0,115.0,1,2022-02-25,2032-02-25,9.1,False
Lexus,ES250 Executive Sunroof,205888,21040.0,1.4,5398.0,2487.0,152.0,1,2021-08-30,2031-08-30,8.6,False
Volkswagen,Passat 1.8A TFSI Highline Sunroof,60500,15980.0,7.2,66851.0,1798.0,132.0,2,2015-11-05,2025-11-04,2.8,False
BMW,3 Series 318i,61800,15740.0,6.9,69000.0,1499.0,100.0,3,2016-03-03,2026-03-03,3.1,False
Mercedes-Benz,CLA-Class CLA200 Progressive,152800,19990.0,3.4,50000.0,1332.0,120.0,1,2019-08-23,2029-08-22,6.6,False
Kia,Optima 2.0A ,103800,12500.0,11.5,,1998.0,121.0,3,2011-06-29,2031-04-01,8.2,True
Volvo,S60 T5 R-Design Sunroof,176000,20130.0,2.4,27000.0,1969.0,187.0,2,2020-08-28,2030-08-28,7.6,False
Mercedes-Benz,190E ,70000,11880.0,33.9,,1997.0,,,1989-03-01,2028-11-01,5.8,True
Mercedes-Benz,E-Class E200 Avantgarde,156800,22460.0,4.6,80000.0,1991.0,135.0,2,2018-05-30,2028-05-29,5.4,False
Mercedes-Benz,S-Class S320L,175800,29020.0,6.2,88000.0,2996.0,200.0,2,2016-10-12,2026-10-12,3.8,False
Audi,A3 Sedan 1.4A TFSI CoD S-tronic,104999,15950.0,4.2,44800.0,1395.0,110.0,1,2018-10-29,2028-10-28,5.8,False
Mercedes-Benz,C-Class C200 Mild Hybrid AMG Line Premium Plus,201800,20870.0,1.9,19500.0,1497.0,145.0,1,2021-02-09,2031-02-09,8.1,False
BMW,2 Series 218i Gran Coupe M-Sport,146888,15930.0,2.1,28481.0,1499.0,103.0,1,2020-11-30,2030-11-30,7.9,False
Mercedes-Benz,E-Class E200 Avantgarde,235999,24540.0,1.8,14000.0,1991.0,145.0,1,2021-03-29,2031-03-29,8.2,False
BMW,5 Series 523i ,95800,12400.0,12.2,,2497.0,150.0,2,2010-10-29,2030-09-01,7.6,True
Mercedes-Benz,C-Class C180 Avantgarde,149000,19070.0,3.3,51235.0,1595.0,115.0,1,2019-09-20,2029-09-19,6.7,False
Toyota,Camry Hybrid 2.5A Ascent,137800,16780.0,2.4,28297.0,2487.0,160.0,1,2020-08-06,2030-08-06,7.6,False
BMW,3 Series 318i,106800,16960.0,4.9,52000.0,1499.0,100.0,1,2018-02-28,2028-02-28,5.1,False
Toyota,Royal Crown 3.0A ,89000,16130.0,14.5,240000.0,2994.0,188.0,5,2008-07-18,2028-07-01,5.5,True
Mercedes-Benz,S-Class S350L ,68800,16340.0,15.8,111000.0,3498.0,200.0,5,2007-03-29,2027-03-01,4.1,True
Honda,Accord 2.0A ,50888,15190.0,16.6,117000.0,1998.0,114.0,4,2006-05-19,2026-05-01,3.3,True
Toyota,Camry 2.4A ,48800,11130.0,15.3,162000.0,2362.0,123.0,3,2007-09-14,2027-05-01,4.3,True
Mercedes-Benz,S-Class S500L Mild Hybrid AMG Line 4MATIC Premium,488888,43650.0,0.7,1089.0,2999.0,336.0,1,2022-04-14,2032-04-13,9.3,False
Mercedes-Benz,C-Class C180 Avantgarde,102800,22340.0,6.2,,1595.0,115.0,3,2016-10-21,2026-10-21,3.8,False
Mercedes-Benz,C-Class C180 Avantgarde,99800,21140.0,6.2,,1595.0,115.0,3,2016-11-16,2026-11-16,3.8,False
Mercedes-Benz,C-Class C200K Avantgarde ,65800,11660.0,14.3,142839.0,1796.0,135.0,5,2008-09-24,2028-08-01,5.6,True
Mercedes-Benz,E-Class E250 Avantgarde,138800,23500.0,5.7,105206.0,1991.0,155.0,1,2017-04-27,2027-04-27,4.3,False
Mercedes-Benz,C-Class C160 Avantgarde,157800,17900.0,2.3,46869.0,1497.0,95.0,1,2020-09-23,2030-09-23,7.7,False
BMW,5 Series 530i M-Sport,159800,25080.0,5.1,48158.0,1998.0,185.0,2,2017-12-18,2027-12-18,4.9,False
Mercedes-Benz,CLA-Class CLA180 Sunroof,63800,21920.0,7.6,,1595.0,90.0,2,2015-06-18,2025-06-17,2.4,False
Mercedes-Benz,C-Class C180K ,88800,11500.0,11.9,157000.0,1597.0,115.0,4,2011-02-08,2030-09-01,7.6,True
Toyota,Camry Hybrid 2.5A Standard,168800,17720.0,1.0,10000.0,2487.0,155.0,1,2022-01-13,2032-01-13,9.0,False
Volkswagen,Passat 1.8A TFSI,113888,15000.0,3.5,53500.0,1798.0,132.0,1,2019-07-18,2029-07-17,6.5,False
Mercedes-Benz,C-Class C180 ,103800,10860.0,10.4,120352.0,1595.0,115.0,2,2012-08-28,2032-07-01,9.5,True
Volvo,S90 T5 Momentum,177800,19420.0,2.0,23363.0,1969.0,187.0,1,2020-12-29,2030-12-29,8.0,False
Mercedes-Benz,C-Class C180 Avantgarde,80800,20760.0,7.0,129000.0,1595.0,115.0,3,2016-01-15,2026-01-14,3.0,False
Mercedes-Benz,E-Class E200 AMG Line,255800,24830.0,1.2,20000.0,1991.0,145.0,1,2021-10-20,2031-10-20,8.8,False
Rolls-Royce,Ghost ,499800,66140.0,12.4,59000.0,6592.0,420.0,3,2010-08-27,2030-07-01,7.5,True
Lexus,ES250 Executive Sunroof,147800,20660.0,4.0,62399.0,2487.0,152.0,1,2019-01-07,2029-01-06,6.0,False
Audi,A4 1.4A TFSI S-tronic,76888,17640.0,6.4,119000.0,1395.0,110.0,1,2016-08-17,2026-08-17,3.6,False
BMW,5 Series 535i Gran Turismo Sunroof ,112998,14630.0,12.2,115083.0,2979.0,225.0,5,2010-11-01,2030-09-01,7.6,True
BMW,5 Series 520i,63800,20890.0,8.1,157000.0,1997.0,135.0,2,2014-11-28,2024-11-27,1.9,False
Volkswagen,Passat 1.8A TFSI Sunroof,76600,15420.0,6.0,79055.0,1798.0,132.0,2,2016-12-29,2026-12-29,4.0,False
Lexus,ES250 Luxury Sunroof,155800,21870.0,4.2,59399.0,2487.0,152.0,1,2018-10-22,2028-10-21,5.8,False
BMW,2 Series 218i Gran Coupe Luxury,157800,15740.0,1.3,15128.0,1499.0,100.0,1,2021-09-17,2031-09-17,8.7,False
Mercedes-Benz,C-Class C200 Mild Hybrid AMG Line,189988,19970.0,2.2,32900.0,1497.0,145.0,2,2020-11-06,2030-11-06,7.8,False
Audi,A4 2.0A TFSI S-tronic,138000,17220.0,3.1,,1984.0,140.0,2,2019-11-26,2029-11-25,6.9,False
Mercedes-Benz,CLA-Class CLA180 AMG Line Premium Plus Sunroof,189000,19690.0,1.6,6000.0,1332.0,100.0,1,2021-05-20,2031-05-20,8.4,False
Mercedes-Benz,C-Class C180 Avantgarde,86800,20810.0,6.7,112000.0,1595.0,115.0,2,2016-04-27,2026-04-27,3.3,False
Mercedes-Benz,C-Class C180 Avantgarde,133800,20160.0,4.5,53212.0,1595.0,115.0,2,2018-07-24,2028-07-23,5.5,False
BMW,5 Series 523i Highline ,140000,16860.0,11.5,92500.0,2497.0,150.0,2,2011-07-28,2031-04-01,8.2,True
Mercedes-Benz,S-Class S500L Mild Hybrid AMG Line 4MATIC Premium Plus,448800,43010.0,1.6,12500.0,2999.0,336.0,2,2021-05-31,2031-05-31,8.4,False
Mercedes-Benz,E-Class E200 Mild Hybrid AMG Line,259800,25060.0,0.9,5290.0,1991.0,155.0,1,2022-02-21,2032-02-21,9.1,False
Audi,A6 3.0A TFSI Quattro S-tronic,112500,25390.0,7.4,56000.0,2995.0,245.0,2,2015-08-20,2025-08-19,2.6,False
Mercedes-Benz,S-Class S500L AMG,209888,50730.0,7.9,118000.0,4663.0,335.0,2,2015-02-05,2025-02-04,2.1,False
Audi,A3 Sedan 1.0A TFSI S-tronic,87800,16450.0,5.1,88800.0,999.0,85.0,1,2017-11-24,2027-11-24,4.9,False
Rolls-Royce,Phantom EWB,2885000,271390.0,0.8,,6749.0,420.0,1,2022-04-12,2032-04-11,9.2,False
Mercedes-Benz,E-Class E220d AMG Line Night Edition Premium Plus,244800,24400.0,1.7,19000.0,1950.0,143.0,1,2021-04-23,2031-04-23,8.3,False
BMW,7 Series 730Li Sunroof ,122800,14080.0,10.9,158000.0,2996.0,190.0,2,2012-02-27,2031-09-01,8.6,True
Volkswagen,Passat 1.8A TSI Highline Sunroof,107800,15900.0,4.4,60000.0,1798.0,132.0,1,2018-08-23,2028-08-22,5.6,False
BMW,7 Series 740Li Sunroof ,99800,15830.0,13.4,,2979.0,240.0,2,2009-08-31,2029-04-01,6.2,True
Lexus,ES Hybrid ES300h Luxury,71500,17370.0,7.3,150000.0,2494.0,151.0,3,2015-09-14,2025-09-13,2.7,False
Mercedes-Benz,C-Class C180 CGI ,79800,10440.0,12.2,,1796.0,115.0,3,2010-10-12,2030-08-01,7.6,True
BMW,5 Series 535i Sunroof ,116888,15300.0,12.2,,2979.0,225.0,3,2010-10-15,2030-08-01,7.6,True
Toyota,Camry 2.0A,53800,14260.0,7.3,,1998.0,123.0,2,2015-09-23,2025-09-22,2.7,False
BMW,7 Series 730Li Sunroof ,97888,12820.0,12.4,130000.0,2996.0,190.0,2,2010-08-31,2030-08-01,7.6,True
Toyota,Camry 2.4A ,58800,9330.0,13.4,140000.0,2362.0,123.0,4,2009-08-17,2029-04-01,6.2,True
Mercedes-Benz,S-Class S320L,182900,28750.0,6.0,110000.0,2996.0,200.0,3,2017-01-23,2027-01-23,4.0,False
Audi,A5 Sportback 2.0A TFSI Quattro ,106800,12900.0,11.7,,1984.0,155.0,4,2011-04-21,2031-04-01,8.2,True
Mercedes-Benz,E-Class E200,59888,19050.0,8.1,133000.0,1991.0,135.0,3,2014-12-10,2024-12-09,1.9,False
Mercedes-Benz,C-Class C180 Avantgarde,159888,18480.0,2.5,49000.0,1497.0,115.0,1,2020-07-28,2030-07-28,7.5,False
Mercedes-Benz,E-Class E250,65366,18480.0,8.0,,1991.0,155.0,3,2015-01-15,2025-01-14,2.0,False
BMW,5 Series 523i ,92388,11010.0,11.5,115000.0,2497.0,150.0,4,2011-06-29,2031-05-01,8.3,True
Audi,A4 1.4A TFSI S-tronic,98800,17180.0,5.1,70000.0,1395.0,110.0,1,2017-12-21,2027-12-21,4.9,False
Audi,A4 2.0A TFSI S-tronic,129800,18430.0,4.0,38800.0,1984.0,140.0,2,2019-01-02,2029-01-01,6.0,False
BMW,2 Series 216i Gran Coupe Sport,168800,15710.0,0.0,,1499.0,80.0,1,2022-12-31,2032-12-30,10.0,False
BMW,5 Series 530e Plug-in Hybrid,145800,25870.0,5.4,73745.0,1998.0,185.0,3,2017-08-31,2027-08-31,4.6,False
Audi,A4 1.8A TFSI MU Attraction,64777,17080.0,7.0,,1798.0,125.0,1,2015-12-30,2025-12-29,3.0,False
BMW,5 Series 520i Luxury,162800,21460.0,3.9,35000.0,1998.0,135.0,2,2019-02-20,2029-02-19,6.1,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,113800,19480.0,5.0,80000.0,1595.0,90.0,2,2018-01-05,2028-01-05,5.0,False
Jaguar,XF 2.0A Prestige,253800,24740.0,0.8,3000.0,1997.0,184.0,1,2022-04-01,2032-03-31,9.2,False
Audi,A6 Mild Hybrid 2.0A TFSI S-tronic Design,196800,20450.0,1.6,11000.0,1984.0,140.0,1,2021-05-31,2031-05-31,8.4,False
Lexus,ES250 Luxury,165800,23710.0,4.2,38000.0,2487.0,152.0,1,2018-10-12,2028-10-11,5.7,False
BMW,5 Series 523i Highline ,103800,12500.0,11.7,161000.0,2497.0,150.0,5,2011-05-11,2031-04-01,8.2,True
Mercedes-Benz,E-Class E200 Avantgarde,185800,23080.0,3.4,64096.0,1991.0,135.0,1,2019-09-05,2029-09-04,6.6,False
Mercedes-Benz,C-Class C200K ,62000,11790.0,14.7,175000.0,1796.0,135.0,5,2008-04-14,2028-04-01,5.2,True
BMW,5 Series 520i Luxury,172800,21440.0,3.5,25000.0,1998.0,135.0,1,2019-07-16,2029-07-15,6.5,False
Mercedes-Benz,C-Class C180K ,88800,10280.0,11.4,90402.0,1597.0,115.0,2,2011-08-31,2031-08-01,8.6,True
Mercedes-Benz,C-Class C200 Mild Hybrid Avantgarde,164800,20630.0,3.3,38760.0,1497.0,145.0,1,2019-09-26,2029-09-25,6.7,False
BMW,2 Series 216i Gran Coupe Sport,168800,15710.0,0.0,,1499.0,,,2022-12-31,2032-12-30,10.0,False
BMW,7 Series 730Li Sunroof,192888,26190.0,4.8,57903.0,1998.0,190.0,1,2018-03-28,2028-03-27,5.2,False
BMW,3 Series 318i,109888,15660.0,4.2,76029.0,1499.0,100.0,1,2018-10-31,2028-10-30,5.8,False
Mercedes-Benz,C-Class C180 CGI ,66500,13290.0,9.9,90000.0,1595.0,115.0,2,2013-02-27,2033-02-26,10.1,True
Mercedes-Benz,CLA-Class CLA180,60988,20870.0,7.6,146100.0,1595.0,90.0,1,2015-06-18,2025-06-17,2.4,False
Mercedes-Benz,C-Class C180 Avantgarde,144800,19430.0,3.6,51000.0,1595.0,115.0,1,2019-05-23,2029-05-22,6.4,False
Mercedes-Benz,A-Class A200 AMG Line Premium,159888,19720.0,2.9,11214.0,1332.0,120.0,1,2020-02-25,2030-02-24,7.1,False
Mercedes-Benz,CLA-Class CLA180 Urban,127988,18600.0,4.0,77000.0,1595.0,90.0,2,2019-01-15,2029-01-14,6.0,False
Mercedes-Benz,C-Class C180 Avantgarde,117988,19000.0,5.0,101150.0,1595.0,115.0,4,2018-01-29,2028-01-29,5.0,False
Mercedes-Benz,C-Class C180 Avantgarde,126800,19340.0,4.6,83000.0,1595.0,115.0,2,2018-06-08,2028-06-07,5.4,False
Mazda,6 2.5A,54600,14950.0,7.3,112000.0,2488.0,141.0,2,2015-09-21,2025-09-20,2.7,False
Audi,A5 Sportback 2.0A TFSI S-tronic Design,129000,20270.0,4.8,50000.0,1984.0,140.0,1,2018-04-12,2028-04-11,5.2,False
Mercedes-Benz,CLA-Class CLA180,81800,18230.0,6.2,91233.0,1595.0,90.0,3,2016-10-20,2026-10-20,3.8,False
Mercedes-Benz,CLA-Class CLA180 AMG Line Sunroof,53800,22340.0,8.1,100594.0,1595.0,90.0,1,2014-11-27,2024-11-26,1.9,False
Mercedes-Benz,C-Class C200 Mild Hybrid Avantgarde,154800,19200.0,3.3,,1497.0,145.0,1,2019-09-18,2029-09-17,6.7,False
BMW,7 Series 730Li Sunroof,82888,22650.0,8.8,108000.0,2996.0,190.0,2,2014-03-21,2024-03-20,1.2,False
Jaguar,XF 3.0A Luxury ,118800,13620.0,11.2,136000.0,2967.0,175.0,3,2011-10-18,2031-09-01,8.6,True
Mercedes-Benz,E-Class E200 Avantgarde (OPC),183800,18920.0,2.1,23000.0,1991.0,145.0,1,2020-11-30,2030-11-30,7.9,False
BMW,5 Series 535i Sunroof ,124800,16380.0,12.4,100000.0,2979.0,225.0,4,2010-08-24,2030-08-01,7.6,True
Lexus,GS300 Luxury ,46000,12190.0,16.2,70000.0,2995.0,183.0,5,2006-10-20,2026-10-01,3.7,True
BMW,5 Series 523i ,87800,11760.0,12.5,,2497.0,150.0,4,2010-06-30,2030-06-01,7.4,True
Jaguar,XE 2.0A,110000,15010.0,3.8,41000.0,1998.0,147.0,3,2019-03-22,2029-03-21,6.2,False
Mercedes-Benz,C-Class C180 Avantgarde,59300,22840.0,8.0,111000.0,1595.0,115.0,3,2015-01-05,2025-01-04,2.0,False
Mercedes-Benz,E-Class E250 ,149800,14970.0,9.7,107000.0,1796.0,150.0,4,2013-05-03,2033-05-02,10.3,True
Mercedes-Benz,CLA-Class CLA200 Urban,119900,19330.0,4.7,65400.0,1595.0,115.0,1,2018-04-27,2028-04-26,5.3,False
Subaru,Legacy 2.5i-S Sunroof,53800,15860.0,7.2,70435.0,2498.0,129.0,2,2015-10-30,2025-10-29,2.8,False
BMW,3 Series 318i M-Sport,191555,18700.0,1.2,6800.0,1998.0,115.0,1,2021-11-05,2031-11-05,8.8,False
Audi,A5 Sportback 1.8A TFSI MU ,136800,13670.0,9.9,128000.0,1798.0,125.0,3,2013-02-25,2033-02-24,10.1,True
Mercedes-Benz,CLA-Class CLA180 AMG Line,165800,18490.0,2.2,28000.0,1332.0,100.0,1,2020-10-24,2030-10-24,7.8,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,165800,18490.0,2.2,28000.0,1332.0,100.0,1,2020-10-24,2030-10-24,7.8,False
Mercedes-Benz,C-Class C200,109800,20990.0,5.9,107000.0,1991.0,135.0,2,2017-02-28,2027-02-28,4.1,False
Audi,A5 Sportback 2.0A TFSI S-tronic Design,136800,19920.0,4.3,63000.0,1984.0,140.0,3,2018-09-14,2028-09-13,5.7,False
BMW,3 Series 318i M-Sport,189888,18190.0,1.0,12623.0,1998.0,115.0,1,2022-01-06,2032-01-06,9.0,False
Maserati,Ghibli S 3.0A,168888,44020.0,7.5,,2979.0,302.0,3,2015-06-30,2025-06-29,2.5,False
Lexus,IS350 F Sport,300000,32400.0,1.7,19900.0,3456.0,232.0,1,2021-04-15,2031-04-15,8.3,False
BMW,5 Series 528i Gran Turismo Luxury Sunroof,63900,23040.0,8.8,111333.0,1997.0,180.0,3,2014-03-18,2024-03-17,1.2,False
BMW,3 Series 316i Sport,37500,23270.0,9.0,138000.0,1598.0,100.0,4,2013-12-24,2023-12-24,1.0,False
BMW,5 Series 530e Plug-in Hybrid,175588,22650.0,3.9,81000.0,1998.0,185.0,2,2019-01-30,2029-01-29,6.1,False
Mercedes-Benz,C-Class C200 Mild Hybrid Avantgarde,150800,18880.0,3.4,52000.0,1497.0,145.0,1,2019-08-14,2029-08-13,6.6,False
Mercedes-Benz,CLA-Class CLA180,54000,21670.0,8.0,69000.0,1595.0,90.0,2,2015-01-16,2025-01-15,2.0,False
Mercedes-Benz,S-Class S320L,198800,28850.0,5.4,95008.0,2996.0,200.0,2,2017-08-03,2027-08-03,4.6,False
Mercedes-Benz,S-Class S400L,169800,31970.0,7.0,31600.0,2996.0,245.0,1,2016-01-18,2026-01-17,3.0,False
Mercedes-Benz,C-Class C180 Avantgarde,109800,18950.0,5.4,98000.0,1595.0,115.0,1,2017-08-23,2027-08-23,4.6,False
Mercedes-Benz,C-Class C180 Avantgarde,118888,18860.0,4.8,67339.0,1595.0,115.0,2,2018-03-13,2028-03-12,5.2,False
Audi,A6 1.8A TFSI Ultra,99800,18170.0,5.7,85000.0,1798.0,140.0,1,2017-04-28,2027-04-28,4.3,False
BMW,3 Series 318i Shadow Edition,87800,16870.0,5.7,51000.0,1499.0,100.0,3,2017-04-28,2027-04-28,4.3,False
Mazda,6 Wagon 2.5A Premium,138800,14970.0,1.7,30950.0,2488.0,143.0,1,2021-05-03,2031-05-03,8.3,False
